brand_name,n_responses,schools
2handsart,1,QC Pet Studies
ABC Grooming School,1,QC Pet Studies
ABC Wedding Education,1,QC Event Planning
ABS,1,QC Pet Studies
academic animal behaviorist,1,QC Pet Studies
Academy for Dog Trainers,1,QC Pet Studies
Academy of Animal Arts,1,QC Pet Studies
Academy of Pet Careers,1,QC Pet Studies
Academy of Wedding and Event Planning,1,QC Event Planning
Accelerated programs,1,QC Pet Studies
AKC® S.A.F.E. Program,1,QC Pet Studies
Alibaba,1,QC Event Planning
Alison Free Online Event Planning,1,QC Event Planning
Alison.com,1,QC Event Planning
All Breed Pet Salon,1,QC Pet Studies
Allied Health Career Training,1,QC Event Planning
American Association of Certified Wedding Planners,1,QC Event Planning
American Kennel Club Canine College,1,QC Pet Studies
American Red Cross,1,QC Pet Studies
American Society of Association Executives (ASAE),1,QC Event Planning
Andrea Eppolito,1,QC Event Planning
Animal Behaviorist,1,QC Pet Studies
Animal Behaviour College (ABC),1,QC Pet Studies
Animal Education,1,QC Pet Studies
animalbehaviorcollege.com,1,QC Pet Studies
Ankorstore,1,QC Event Planning
Apprenticeships,1,QC Pet Studies
Apprenticeships or mentorships,1,QC Pet Studies
Apprenticeships/Mentorships,1,QC Pet Studies
Art Studios,1,QC Event Planning
ASPCA Learning Lab,1,QC Pet Studies
Association of Bridal Consultants,1,QC Event Planning
Association of Bridal Consultants (ABC),1,QC Event Planning
Become An Event Planner,1,QC Event Planning
berry.edu,1,QC Pet Studies
Best (Paragon Pet School),1,QC Pet Studies
Bingo Institute of Grooming,1,QC Pet Studies
Boujee Pet Grooming School and Academy,1,QC Pet Studies
Brentwood Open Learning Center,1,QC Event Planning
British College of Canine Studies,1,QC Pet Studies
Bryant University,1,QC Event Planning
Bunker Hill Community College Event Management,1,QC Event Planning
Cake Hoopla,1,QC Event Planning
CalCareers,1,General
Cali K9®,1,QC Pet Studies
Cali K9® Online Training,1,QC Pet Studies
California State University Long Beach,1,QC Event Planning
Canadian Association of Professional Dog Trainers,1,QC Pet Studies
Candice Coppola,1,QC Event Planning
Canine Behavior Academy,1,QC Pet Studies
Canine College,1,QC Pet Studies
Canine Foundations,1,QC Pet Studies
Canine Physical Therapist,1,QC Pet Studies
caninecrews.com,1,QC Pet Studies
CAPDT (Developing),1,QC Pet Studies
Careershifters,1,General
careervillage.org,1,QC Pet Studies
Carroll Community College,1,QC Pet Studies
Catch Canine Trainers Academy,1,QC Pet Studies
caterers,1,QC Event Planning
ccny.cuny.edu,1,QC Event Planning
CCPDT®,1,QC Pet Studies
CCS (Canine Correspondence Studies),1,QC Pet Studies
Central Virginia Career Training,1,QC Event Planning
Certification,1,QC Pet Studies
certifications from American Association of Certified Wedding Planners (AACWP),1,QC Event Planning
Certified Canine Groomer (CCG),1,QC Pet Studies
Certified Master Groomer (CMG),1,QC Pet Studies
Certified Master Wedding and Event Planner,1,QC Event Planning
Certified Master Wedding and Event Planner by Lovegevity,1,QC Event Planning
Certified Professional Pet Groomer (CPPG),1,QC Pet Studies
Certified Special Event Professional (CSEP),1,QC Event Planning
Certified Wedding & Event Planning (CWEP) program,1,QC Event Planning
Certified Wedding Planner course by Lovegevity,1,QC Event Planning
Certified Wedding Planner Society (CWP Society),1,QC Event Planning
Certified Wedding Planners Society,1,QC Event Planning
chambers of commerce,1,QC Event Planning
Chef Schonberg’s Sweets,1,QC Event Planning
Chicago State University,1,QC Event Planning
City College of New York,1,QC Event Planning
Cochrane and Area Humane Society,1,QC Pet Studies
Cochrane and Area Humane Society's PACE Program,1,QC Pet Studies
College of International Education,1,QC Event Planning
College Raptor,1,General
Collin College,1,QC Event Planning
Comprehensive/Professional Programs (In-Person),1,QC Pet Studies
Corporate training or bather-to-stylist paths,1,QC Pet Studies
CourseHorse,1,QC Event Planning
courses offered by NYIAD,1,QC Event Planning
CPL Event Decorating School,1,QC Event Planning
CPPS-Certified Professional Pet Sitter®,1,QC Pet Studies
CPS-DW,1,QC Pet Studies
CSULB,1,QC Event Planning
cvent.com,1,QC Event Planning
cvlinens.com,1,QC Event Planning
CynoDo,1,QC Pet Studies
CynoDo Academy,1,QC Pet Studies
CynoDo®,1,QC Pet Studies
Dallas College,1,QC Event Planning
Davron,1,General
Decor Arabia,1,QC Event Planning
Decorating Den,1,QC Event Planning
DesignFiles,1,QC Event Planning
DIGMODA Academy,1,QC Pet Studies
DIYK9,1,QC Pet Studies
Dog Grooming Academy of Indianapolis,1,QC Pet Studies
Dog Trainer Certification Program from Penn Foster,1,QC Pet Studies
Dog Walking Business Owner,1,QC Pet Studies
Doggone Rite Dog Grooming Academy,1,QC Pet Studies
Dreamy Dogs Grooming Academy,1,QC Pet Studies
Eastern Kentucky University,1,QC Event Planning
Eastside Academy of Dog Grooming,1,QC Pet Studies
Elevify's Pet Bather & Groomer Course,1,QC Pet Studies
Eloise Market and Cakery,1,QC Event Planning
Emory University’s Event Planning & Management Certificate,1,QC Event Planning
Etsy,1,QC Event Planning
Event Academy,1,QC Event Planning
Event Decor Technology on Udemy,1,QC Event Planning
Event Decorating Academy (EDA),1,QC Event Planning
Event Industry Council,1,QC Event Planning
Event Leadership Institute,1,QC Event Planning
Event Planning Certificate from the George Washington University,1,QC Event Planning
Event Planning Schools,1,QC Event Planning
Eventbrite and Event Planning Certification,1,QC Event Planning
Eventective,1,QC Event Planning
Eventive,1,QC Event Planning
FGCU / FIU (Florida),1,QC Event Planning
Florida Dog Groomer School,1,QC Pet Studies
Florida International University (FIU),1,QC Event Planning
Free YouTube Tutorials,1,QC Event Planning
FutureLearn,1,QC Event Planning
Garver Grooming,1,QC Pet Studies
GateWay Community College,1,QC Pet Studies
George Mason University’s Online Event Management and Design,1,QC Event Planning
George Washington University (GWU),1,QC Event Planning
Glassdoor,1,QC Pet Studies
Groom Arts,1,QC Pet Studies
Groomadog Course Online,1,QC Pet Studies
Groomarts,1,QC Pet Studies
GroomHaus,1,QC Pet Studies
Grooming School of Indiana,1,QC Pet Studies
GW School of Business,1,QC Event Planning
GWSB International,1,QC Event Planning
Hivelife,1,QC Event Planning
Hound Therapy,1,QC Pet Studies
Husson University,1,QC Pet Studies
HVCC (Herkimer County Community College),1,QC Event Planning
IACP CDT,1,QC Pet Studies
IAP Career College’s Event Planner Certificate Course,1,QC Event Planning
ILEA,1,QC Event Planning
imexevents.com,1,QC Event Planning
In The Details Weddings,1,QC Event Planning
Institute of Event Management,1,QC Event Planning
Institute of Modern Dog Trainers,1,QC Pet Studies
Institute of Wedding and Event Planning,1,QC Event Planning
International Academy,1,QC Pet Studies
International Association of Canine Professionals,1,QC Pet Studies
International Live Events Association,1,QC Event Planning
International Special Events Society (ISES),1,QC Event Planning
Jean Donaldson's Academy for Dog Trainers,1,QC Pet Studies
Jess Rona,1,QC Pet Studies
JKL Grooming Academy,1,QC Pet Studies
Jodi Murphy,1,QC Pet Studies
Karen Pryor Academy Certified Training Partner (KPA CTP),1,QC Pet Studies
KPA-CTP,1,QC Pet Studies
Lab productora,1,QC Event Planning
learn2groomdogs.com,1,QC Pet Studies
Lehman College's Wedding and Event Planner Classes,1,QC Event Planning
Les Roches,1,QC Event Planning
Little Design Corner,1,QC Event Planning
Local Community Colleges,1,QC Event Planning
local community colleges or vocational schools,1,QC Event Planning
Louisiana Culinary Institute,1,QC Event Planning
Lovegevity Wedding Planning Institute (LWPI),1,QC Event Planning
Lovegevity’s LWPI,1,QC Event Planning
Lovegevity’s Wedding Planning Institute (CWP),1,QC Event Planning
LSIB,1,QC Event Planning
Madison College,1,QC Pet Studies
Maker’s Row,1,QC Event Planning
Management & Strategy Institute,1,QC Event Planning
MCI Certified,1,QC Event Planning
Meeting Professionals International,1,QC Event Planning
Merryfield Academy,1,QC Pet Studies
Montgomery College,1,QC Event Planning
MSI Certified Event Planning Certification,1,QC Event Planning
MSICertified,1,QC Event Planning
MSICertified’s Event Planning Certification,1,QC Event Planning
MUNBYN,1,QC Event Planning
NAPPS Certification,1,QC Pet Studies
NAPPS Certification Course,1,QC Pet Studies
nassau boces,1,QC Pet Studies
Nassau BOCES,1,QC Pet Studies
National Cat Groomers Institute,1,QC Pet Studies
National Dog Groomers,1,QC Pet Studies
National Dog Groomers Association,1,QC Pet Studies
NDGAA,1,QC Pet Studies
Nevada State University,1,QC Event Planning
New York (Wagner) Wedding and Event Planning,1,QC Event Planning
New York Academy of Pet Styling,1,QC Pet Studies
New York Institute of Art & Design (NYIAD),1,QC Event Planning
New York Institute of Pet Grooming,1,QC Pet Studies
New York Institute of Pet Grooming (NYIPG),1,QC Pet Studies
New York University (NYU) School of Professional Studies,1,QC Event Planning
nj dog grooming school,1,QC Pet Studies
NJ Dog Grooming School,1,QC Pet Studies
North Carolina Central University,1,QC Event Planning
North Carolina State University,1,QC Event Planning
North Seattle College Corporate Event Planner (CEP),1,QC Event Planning
NYIAD (Event Planning Course),1,QC Event Planning
NYIAD Online Event Planning Course,1,QC Event Planning
nyiad.edu,1,QC Event Planning
NYIAD’s Online Event Planning Course,1,QC Event Planning
NYIPG,1,QC Pet Studies
OCSO Careers,1,General
Olesia Cake Studio,1,QC Event Planning
Online Courses,1,QC Pet Studies
Online programs,1,QC Pet Studies
Online/Self-Study Programs,1,QC Pet Studies
Oxford Home Study College,1,QC Event Planning
Palm Beach State College,1,QC Event Planning
Paragon online certificate courses,1,QC Pet Studies
Paragon Petschool,1,QC Pet Studies
Paw Parent Academy's Dog Grooming Courses,1,QC Pet Studies
PCC,1,QC Event Planning
PDGA,1,QC Pet Studies
penn foster,1,QC Pet Studies
Penn Foster Career School,1,QC Event Planning
Penn Foster Online Certificate,1,QC Pet Studies
Penn Foster Pet Grooming,1,QC Pet Studies
Penn Foster Pet Grooming Certificate,1,QC Pet Studies
Penn Foster Pet Grooming Program,1,QC Pet Studies
Penn Foster's Pet Grooming Certificate,1,QC Pet Studies
Penn Foster's Pet Grooming Certificate Program,1,QC Pet Studies
pennsylvania dog grooming school,1,QC Pet Studies
Pennsylvania Dog Grooming School,1,QC Pet Studies
Perfect Venue,1,QC Event Planning
Pet Care Ins,1,QC Pet Studies
Pet Industry Federation (PIF),1,QC Pet Studies
Pet Photographer,1,QC Pet Studies
Pet Professional Guild (PPG) / Pet Professional Accreditation Board (PPAB),1,QC Pet Studies
Pet Sitter/Boarder,1,QC Pet Studies
Petco,1,QC Pet Studies
Petco Academy,1,QC Pet Studies
Peticademy,1,QC Pet Studies
Pets Playground Pet Grooming School,1,QC Pet Studies
PetSmart,1,QC Pet Studies
PetSmart Groomer Class,1,QC Pet Studies
Pettable Academy,1,QC Pet Studies
PetTech,1,QC Pet Studies
Pippy's Puppy Parlor LLC,1,QC Pet Studies
Portland Community College,1,QC Event Planning
Posh Events Course,1,QC Event Planning
Poshe Event Course,1,QC Event Planning
Poshevents Course,1,QC Event Planning
Poshevents Online,1,QC Event Planning
Posheventscourse,1,QC Event Planning
Private Grooming Academies,1,QC Pet Studies
Professional grooming school,1,QC Pet Studies
PSI CPPS,1,QC Pet Studies
Purdue,1,QC Pet Studies
Purdue’s Canine Care Certified,1,QC Pet Studies
Red Cross,1,QC Pet Studies
Revelation Pets,1,QC Pet Studies
Rover,1,QC Pet Studies
Royal Dog Academy,1,QC Pet Studies
Santa Monica College,1,QC Event Planning
Senior Dog Vets,1,QC Pet Studies
SHMS,1,QC Event Planning
Shopify,1,QC Event Planning
Short-Term/Basic Certification Programs (In-Person),1,QC Pet Studies
socialtables.com,1,QC Event Planning
Stacey’s Canine Design,1,QC Pet Studies
Stautzenberger College,1,QC Pet Studies
Super Styling Sessions,1,QC Pet Studies
Team Dog,1,QC Pet Studies
Tellington TTouch Canada,1,QC Pet Studies
Tellington TTouch® Online Learning Platform,1,QC Pet Studies
Tellington TTouch® Practitioner Training,1,QC Pet Studies
Temple University Event Leadership,1,QC Event Planning
The American Association of Certified Wedding Planners (AACWP),1,QC Event Planning
The Bridal Society,1,QC Event Planning
The Bridal Society (TBS),1,QC Event Planning
The Canine University,1,QC Pet Studies
The CWP Society - Sheree Amour Weddings & Event Planning,1,QC Event Planning
The Event Management Course,1,QC Event Planning
The Event School London,1,QC Event Planning
The International Institute of Event Management,1,QC Event Planning
The International School for Canine Psychology and Behaviour,1,QC Pet Studies
The International School for Canine Psychology and Behaviour (ISCP),1,QC Pet Studies
The Meeting Professionals International (MPI),1,QC Event Planning
The New York Institute of Art & Design (NYIAD),1,QC Event Planning
The New York Institute of Art and Design (NYIAD),1,QC Event Planning
The Pooch Parlor Groomer Academy,1,QC Pet Studies
The Wedding Planner School (US),1,QC Event Planning
Therapy Dog Training Certification Course,1,QC Pet Studies
Thimble,1,QC Pet Studies
TimetoPet,1,QC Pet Studies
Tipsy Cake OKC,1,QC Event Planning
Top Universities,1,QC Pet Studies
topuniversities.com,1,QC Pet Studies
Trade school / hands-on grooming schools,1,QC Pet Studies
Triple Crown Academy,1,QC Pet Studies
UC Davis,1,QC Pet Studies
ucdavis.edu,1,QC Pet Studies
UCLA Extension,1,QC Event Planning
UCLA Extension’s Event Planning and Management Specialization,1,QC Event Planning
Udacity,1,General
UGA,1,QC Event Planning
Unity,1,QC Pet Studies
Unity College,1,QC Pet Studies
unity.edu,1,QC Pet Studies
Unity.edu,1,QC Pet Studies
University of Florida,1,QC Event Planning
University of Houston (Master Event Design),1,QC Event Planning
University of Houston’s Master Event Design,1,QC Event Planning
University of New Orleans (UNO),1,QC Event Planning
University of North Carolina at Charlotte,1,QC Event Planning
University of Texas at San Antonio's Certified Master Wedding and Event Planner,1,QC Event Planning
University/College Hospitality Programs with Event Concentrations,1,QC Event Planning
Urban Pawsibilities,1,QC Pet Studies
US Career Institute,1,General
US News,1,General
veterinary behavior,1,QC Pet Studies
Veterinary Technician,1,QC Pet Studies
Victoria Stilwell Academy for Dog Training & Behavior (VSA),1,QC Pet Studies
Virginia School of Pet Grooming,1,QC Pet Studies
Virginia Schools,1,QC Pet Studies
Vocational School,1,QC Pet Studies
Vocational School Programs,1,QC Pet Studies
Vocational Schools/Community Colleges,1,QC Pet Studies
WA Academy,1,QC Pet Studies
Wagbar,1,QC Pet Studies
Wagner,1,QC Event Planning
Wake Tech,1,QC Event Planning
Wake Technical Community College,1,QC Event Planning
webber.edu,1,QC Event Planning
Wedding Academy,1,QC Event Planning
Wedding Planner Institute,1,QC Event Planning
Wedding Planning Institute (WPI),1,QC Event Planning
WeddingMart,1,QC Event Planning
Weddings Beautiful Online,1,QC Event Planning
WeddingWire,1,QC Event Planning
WedTech Academy - Lovegevity,1,QC Event Planning
West Coast Grooming,1,QC Pet Studies
west coast grooming academy,1,QC Pet Studies
West Coast Hybrid Course,1,QC Pet Studies
WooCommerce,1,QC Event Planning
WPGA,1,QC Pet Studies
WPGA (World Pet Grooming Association),1,QC Pet Studies
WPGA Grooming Certification,1,QC Pet Studies
WPGA Online Grooming Certification,1,QC Pet Studies
Xtra Dog Academy,1,QC Pet Studies
YES! Event Decor & More,1,QC Event Planning
YWED Global,1,QC Event Planning
