canonical_name,variants,n_responses,schools,proposed_type,matched_rule,domains,needs_review
Animal Behavior College (ABC),ABC Grooming School; Animal Behavior College (ABC); Animal Behaviour College (ABC); Association of Bridal Consultants; Association of Bridal Consultants (ABC),6,QC Event Planning; QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Canine Correspondence Studies (CCS),Canine Correspondence Studies; Canine Correspondence Studies (CCS); CCS (Canine Correspondence Studies),6,QC Pet Studies,competitor,named school/program word,,True
Dogue Academy,Dogue Academy; Dogue Academy Professional Dog Trainer School,6,QC Pet Studies,competitor,named school/program word,,True
Emory University,Emory University,6,QC Event Planning,not_actionable,university / college,,True
International Live Events Association (ILEA),ILEA; International Live Events Association; International Live Events Association (ILEA),6,QC Event Planning,certifying_body,association/council/institute-of pattern,,True
MSI Certified,MSI Certified; MSI Certified Event Planning Certification; MSICertified; MSICertified’s Event Planning Certification,6,QC Event Planning,competitor,default (no rule matched),,True
Posh Events Institute,Posh Events Institute,6,QC Event Planning,competitor,named school/program word,,True
Georgian College,Canine Training Academy at Georgian College; Georgian College,5,QC Pet Studies,competitor,university-word override: vocational school,,True
New York University School of Professional Studies,New York University (NYU) School of Professional Studies; New York University School of Professional Studies; NYU SPS,5,QC Event Planning,not_actionable,university / college,,True
Social Tables,Social Tables; socialtables.com,5,QC Event Planning,not_actionable,job board / e-commerce / SaaS list,socialtables.com,True
Victoria Stilwell Academy,Victoria Stilwell Academy; Victoria Stilwell Academy for Dog Training & Behavior (VSA),5,QC Pet Studies,competitor,named school/program word,,True
ZipRecruiter,ZipRecruiter; ziprecruiter.com,5,QC Pet Studies,not_actionable,job board / e-commerce / SaaS list,ziprecruiter.com,True
American Kennel Club,American Kennel Club; American Kennel Club Canine College,4,QC Pet Studies,certifying_body,known certifying body,,True
C2H Online,C2H Online,4,QC Pet Studies,competitor,default (no rule matched),,True
Cali K9 Online Training,Cali K9 Online Training; Cali K9®; Cali K9® Online Training,4,QC Pet Studies,competitor,named school/program word,,True
CAPDT,Canadian Association of Professional Dog Trainers; CAPDT; CAPDT (Developing),4,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Certified Meeting Professional (CMP),Certified Meeting Professional (CMP),4,QC Event Planning,certifying_body,credential name (Certified ...),,True
Clip Shoppe School of Dog Grooming,Clip Shoppe School of Dog Grooming,4,QC Pet Studies,competitor,named school/program word,,True
Cvent,Cvent; cvent.com,4,QC Event Planning,competitor,approved: vendor's own pages hold ownable slots (competitor),cvent.com,True
DogStars Training Academy,DogStars Training Academy,4,QC Pet Studies,competitor,named school/program word,,True
Edmonds College,Edmonds College,4,QC Event Planning,not_actionable,university / college,,True
George Washington University,Event Planning Certificate from the George Washington University; George Washington University; George Washington University (GWU),4,QC Event Planning,not_actionable,university - but may sell a standalone certificate (flagged),,True
International Dog Trainer School,International Dog Trainer School; internationaldogtrainerschool.com,4,QC Pet Studies,competitor,named school/program word,internationaldogtrainerschool.com,True
New Skills Academy,New Skills Academy,4,QC Pet Studies,competitor,named school/program word,,True
Northern California Grooming Academy,Northern California Grooming Academy,4,QC Pet Studies,competitor,named school/program word,,True
Paragon Pet School,Paragon Pet School; Paragon Petschool,4,QC Pet Studies,competitor,named school/program word,,True
Pretty Paws Grooming Academy,Pretty Paws Grooming Academy,4,QC Pet Studies,competitor,named school/program word,,True
South Texas College,South Texas College,4,QC Pet Studies,competitor,university-word override: vocational school,,True
The Wedding Academy,The Wedding Academy; Wedding Academy,4,QC Event Planning,competitor,named school/program word,,True
Unity,Unity; Unity College; unity.edu; Unity.edu,4,QC Pet Studies,not_actionable,university / college,unity.edu,True
Wedding Academy Global,Wedding Academy Global,4,QC Event Planning,competitor,named school/program word,,True
Yes! Event Academy,Yes! Event Academy,4,QC Event Planning,competitor,named school/program word,,True
Berry College,Berry College; berry.edu,3,QC Pet Studies,not_actionable,university / college,berry.edu,True
Canine Club Academy,Canine Club Academy,3,QC Pet Studies,competitor,named school/program word,,True
Career Village,Career Village; careervillage.org,3,QC Event Planning; QC Pet Studies,not_actionable,job board / e-commerce / SaaS list,careervillage.org,True
Certified Wedding Planner Society,Certified Wedding Planner Society; Certified Wedding Planner Society (CWP Society),3,QC Event Planning,certifying_body,known certifying body,,True
e-Training for Dogs,e-Training for Dogs,3,QC Pet Studies,competitor,named school/program word,,True
Ethology Institute,Ethology Institute,3,QC Pet Studies,competitor,named school/program word,,True
EventPlanning.com,Event Planning Schools; EventPlanning.com,3,QC Event Planning,competitor,default (no rule matched),eventplanning.com,True
Flawless Pet Grooming,Flawless Pet Grooming,3,QC Pet Studies,competitor,named school/program word,,True
Groom Curriculum,Groom Curriculum,3,QC Pet Studies,competitor,default (no rule matched),,True
Groomer to Groomer,Groomer to Groomer,3,QC Pet Studies,not_actionable,generic noun - no proper noun,,True
Instinct Dog Training,Instinct Dog Training,3,QC Pet Studies,competitor,named school/program word,,True
International Canine Training Institute (ICTI),International Canine Training Institute (ICTI),3,QC Pet Studies,competitor,named school/program word,,True
International Institute of Event Management,International Institute of Event Management; The International Institute of Event Management,3,QC Event Planning,competitor,named school/program word,,True
Jodi Murphy’s Distance Learning Program,Jodi Murphy; Jodi Murphy’s Distance Learning Program,3,QC Pet Studies,competitor,default (no rule matched),,True
Just Four Paws Academy,Just Four Paws Academy,3,QC Pet Studies,competitor,named school/program word,,True
Lehman College,Lehman College; Lehman College's Wedding and Event Planner Classes,3,QC Event Planning,not_actionable,university - but may sell a standalone certificate (flagged),,True
Lovegevity’s LWPI,Lovegevity Wedding Planning Institute (LWPI); Lovegevity’s LWPI; Lovegevity’s Wedding Planning Institute (CWP),3,QC Event Planning,competitor,named school/program word,,True
MidMo Dog Training,MidMo Dog Training,3,QC Pet Studies,competitor,named school/program word,,True
Mindfulness4dogs Online Dog School,Mindfulness4dogs Online Dog School,3,QC Pet Studies,competitor,named school/program word,,True
New York Institute of Pet Grooming,New York Institute of Pet Grooming; New York Institute of Pet Grooming (NYIPG); NYIPG,3,QC Pet Studies,certifying_body,bare acronym - UNVERIFIED,,True
Oxford Home Study,Oxford Home Study; Oxford Home Study College,3,QC Event Planning,competitor,university-word override: vocational school,,True
PACCC,PACCC,3,QC Pet Studies,certifying_body,known credential acronym,,True
Paw Parent Academy,Paw Parent Academy; Paw Parent Academy's Dog Grooming Courses,3,QC Pet Studies,competitor,named school/program word,,True
Pet Sitters International,Pet Sitters International,3,QC Pet Studies,certifying_body,known certifying body,,True
Posheventscourse,Posh Events Course; Poshevents Course; Posheventscourse,3,QC Event Planning,competitor,named school/program word,,True
Prestige Dog Grooming School,Prestige Dog Grooming School,3,QC Pet Studies,competitor,named school/program word,,True
Printify,Printify,3,QC Event Planning; QC Pet Studies,not_actionable,job board / e-commerce / SaaS list,,True
Unleashed Potential K9 Academy,Unleashed Potential K9 Academy,3,QC Pet Studies,competitor,named school/program word,,True
V Wedding Academy,V Wedding Academy,3,QC Event Planning,competitor,named school/program word,,True
Webber International University,Webber International University,3,QC Event Planning,not_actionable,university / college,,True
American Academy of Wedding Professionals (AAWP),American Academy of Wedding Professionals (AAWP),2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
American School of Dog Grooming,American School of Dog Grooming,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Animal Behavior Institute,Animal Behavior Institute,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
animalcoursesdirect.co.uk,animalcoursesdirect.co.uk,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),animalcoursesdirect.co.uk,False
Building Bonds Online Courses,Building Bonds Online Courses,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
California State University Long Beach,California State University Long Beach; CSULB,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Canine Academy,Canine Academy,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Certified Special Events Professional (CSEP),Certified Special Events Professional (CSEP),2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
CWP Society,CWP Society,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: known certifying body,,False
CynoDo,CynoDo; CynoDo®,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Diamond Cut Dog Grooming School,Diamond Cut Dog Grooming School,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Dog Grooming School of Pennsylvania,Dog Grooming School of Pennsylvania,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Dogma Academy,Dogma Academy,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Easy Busy Pets,Easy Busy Pets,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Eventbrite,Eventbrite,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Fenzi Dog Sports Academy,Fenzi Dog Sports Academy,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Flawless Pet Grooming School & Salon,Flawless Pet Grooming School & Salon,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Groomarts,Groom Arts; Groomarts,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Julius K9,Julius K9,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Let's Groom Virtual Academy,Let's Groom Virtual Academy,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
MasterClass,MasterClass,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said platform: platform list (course marketplace),,False
McNeese State University,McNeese State University,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Merryfield,Merryfield,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Moego,Moego,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
MSU Denver,MSU Denver,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Nassau BOCES,Nassau BOCES; nassau boces,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
NJ Dog Grooming School,NJ Dog Grooming School; nj dog grooming school,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
OKC Unleashed,OKC Unleashed,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Online Grooming School,Online Grooming School,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Paragon,Paragon,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
PCMA Institute,PCMA Institute,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Pennsylvania Dog Grooming School,Pennsylvania Dog Grooming School; pennsylvania dog grooming school,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Pet Professional,Pet Professional,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Portland Community College,PCC; Portland Community College,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Shear Excellence Dog Grooming Academy,Shear Excellence Dog Grooming Academy,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
SpiritDog Training,SpiritDog Training,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
The Bridal Society,The Bridal Society; The Bridal Society (TBS),2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: known certifying body,,False
The International School for Canine Psychology and Behaviour,The International School for Canine Psychology and Behaviour; The International School for Canine Psychology and Behaviour (ISCP),2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
The Sheffield School,The Sheffield School,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Top Universities,Top Universities; topuniversities.com,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,topuniversities.com,False
Tuma Event Ambience Creators (TEAC),Tuma Event Ambience Creators (TEAC),2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
UC Davis,UC Davis; ucdavis.edu,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,ucdavis.edu,False
Vocational School,Vocational School; Vocational School Programs,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Wagner College,Wagner College,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Wear Wag Repeat,Wear Wag Repeat,2,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Weddings Beautiful Worldwide,Weddings Beautiful Worldwide,2,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
2handsart,2handsart,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
ABC Wedding Education,ABC Wedding Education,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
ABS,ABS,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: bare acronym - UNVERIFIED,,False
academic animal behaviorist,academic animal behaviorist,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Academy for Dog Trainers,Academy for Dog Trainers,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Academy of Animal Arts,Academy of Animal Arts,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Academy of Wedding and Event Planning,Academy of Wedding and Event Planning,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Accelerated programs,Accelerated programs,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
AKC® S.A.F.E. Program,AKC® S.A.F.E. Program,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Alibaba,Alibaba,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
All Breed Pet Salon,All Breed Pet Salon,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Allied Health Career Training,Allied Health Career Training,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
American Red Cross,American Red Cross,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
American Society of Association Executives (ASAE),American Society of Association Executives (ASAE),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Andrea Eppolito,Andrea Eppolito,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Animal Behaviorist,Animal Behaviorist,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Animal Education,Animal Education,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Ankorstore,Ankorstore,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Apprenticeships,Apprenticeships,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Apprenticeships or mentorships,Apprenticeships or mentorships,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Apprenticeships/Mentorships,Apprenticeships/Mentorships,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Art Studios,Art Studios,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
ASPCA Learning Lab,ASPCA Learning Lab,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Become An Event Planner,Become An Event Planner,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Best (Paragon Pet School),Best (Paragon Pet School),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Bingo Institute of Grooming,Bingo Institute of Grooming,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Boujee Pet Grooming School and Academy,Boujee Pet Grooming School and Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Brentwood Open Learning Center,Brentwood Open Learning Center,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
British College of Canine Studies,British College of Canine Studies,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: university-word override: vocational school,,False
Bryant University,Bryant University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Bunker Hill Community College Event Management,Bunker Hill Community College Event Management,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
Cake Hoopla,Cake Hoopla,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
CalCareers,CalCareers,1,General,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Candice Coppola,Candice Coppola,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Canine Behavior Academy,Canine Behavior Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Canine College,Canine College,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Canine Foundations,Canine Foundations,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Canine Physical Therapist,Canine Physical Therapist,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
caninecrews.com,caninecrews.com,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),caninecrews.com,False
Careershifters,Careershifters,1,General,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Carroll Community College,Carroll Community College,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
caterers,caterers,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
ccny.cuny.edu,ccny.cuny.edu,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),ccny.cuny.edu,False
Central Virginia Career Training,Central Virginia Career Training,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Certification,Certification,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Certified Canine Groomer (CCG),Certified Canine Groomer (CCG),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
Certified Master Groomer (CMG),Certified Master Groomer (CMG),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
Certified Master Wedding and Event Planner,Certified Master Wedding and Event Planner,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Certified Professional Pet Groomer (CPPG),Certified Professional Pet Groomer (CPPG),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
Certified Special Event Professional (CSEP),Certified Special Event Professional (CSEP),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
Certified Wedding & Event Planning (CWEP) program,Certified Wedding & Event Planning (CWEP) program,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: credential name (Certified ...),,False
Certified Wedding Planners Society,Certified Wedding Planners Society,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
chambers of commerce,chambers of commerce,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Chef Schonberg’s Sweets,Chef Schonberg’s Sweets,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Chicago State University,Chicago State University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
City College of New York,City College of New York,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Cochrane and Area Humane Society,Cochrane and Area Humane Society,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
